row.id,Genus_Species,altname,nametype,complex,with.data
175,Acleris pulverosana,Acleris pulverosana,binomial,FALSE,FALSE
176,Acleris rhombana,Acleris rhombana,binomial,FALSE,FALSE
177,Acleris rhombana,Rhomboid Tortrix Moth,english,FALSE,FALSE
178,Acleris robinsoniana,Acleris robinsoniana,binomial,FALSE,FALSE
179,Acleris robinsoniana,Robinson's Acleris Moth,english,FALSE,FALSE
180,Acleris santacrucis,Acleris santacrucis,binomial,FALSE,FALSE
181,Acleris scabrana,Acleris scabrana,binomial,FALSE,FALSE
182,Acleris scabrana,Gray Rough-wing Moth,english,FALSE,FALSE
183,Acleris semiannula,Acleris semiannula,binomial,FALSE,FALSE
184,Acleris semipurpurana,Acleris semipurpurana,binomial,FALSE,TRUE
185,Acleris semipurpurana,Oak Leaftier Moth,english,FALSE,FALSE
186,Acleris senescens,Acleris senescens,binomial,FALSE,FALSE
187,Acleris simpliciana,Acleris simpliciana,binomial,FALSE,FALSE
188,Acleris stadiana,Acleris stadiana,binomial,FALSE,FALSE
189,Acleris subnivana,Acleris subnivana,binomial,FALSE,TRUE
190,Acleris variana,Acleris variana,binomial,FALSE,FALSE
191,Acleris variana,Eastern Black-headed Budworm Moth,english,FALSE,FALSE
192,Acleris variegana,Acleris variegana,binomial,FALSE,FALSE
193,Acleris variegana,Garden Rose Tortrix Moth,english,FALSE,FALSE
194,Acleris viburnana,Acleris viburnana,binomial,FALSE,FALSE
195,Acleris youngana,Acleris youngana,binomial,FALSE,FALSE
196,Aclytia heber,Aclytia heber,binomial,FALSE,FALSE
197,Acoloithus falsarius,Acoloithus falsarius,binomial,FALSE,FALSE
198,Acoloithus falsarius,Clemens' False Skeletonizer Moth,english,FALSE,FALSE
199,Acoloithus novaricus,Acoloithus novaricus,binomial,FALSE,FALSE
200,Acoloithus rectarius,Acoloithus rectarius,binomial,FALSE,FALSE
201,Acoloithus rectarius,Upright Acoloithus Moth,english,FALSE,FALSE
202,Acontia behrii,Acontia behrii,binomial,FALSE,FALSE
203,Acontia chea,Acontia chea,binomial,FALSE,FALSE
204,Acontia coquillettii,Acontia coquillettii,binomial,FALSE,FALSE
205,Acontia cretata,Acontia cretata,binomial,FALSE,FALSE
206,Acontia cretata,Chalky Bird-dropping Moth,english,FALSE,FALSE
207,Acontia jaliscana,Acontia jaliscana,binomial,FALSE,FALSE
208,Acopa carina,Acopa carina,binomial,FALSE,FALSE
209,Acopa perpallida,Acopa perpallida,binomial,FALSE,FALSE
210,Acossus centerensis,Acossus centerensis,binomial,FALSE,FALSE
211,Acossus centerensis,Poplar Carpenterworm Moth,english,FALSE,FALSE
212,Acossus populi,Acossus populi,binomial,FALSE,FALSE
213,Acossus populi,Aspen Carpenterworm Moth,english,FALSE,FALSE
214,Acossus undosus,Acossus undosus,binomial,FALSE,FALSE
215,Acrapex relicta,Acrapex relicta,binomial,FALSE,FALSE
216,Acratodes suavata,Acratodes suavata,binomial,FALSE,FALSE
217,Acritogramma metaleuca,Acritogramma metaleuca,binomial,FALSE,FALSE
218,Acritogramma noctar,Acritogramma noctar,binomial,FALSE,FALSE
