"q10","q50","w10","w50","year","HEXcell"
159,176,130.392025517848,186.735207035638,2020,589
205.2,268,204.151270930968,264.331032468177,2016,590
161,222.5,140.018536748136,209.308741886482,2017,590
155.6,216,155.811595582709,220.612493445428,2018,590
164.8,233,159.260907019927,230.821928701363,2019,590
120.6,191,118.83976367132,195.585862501096,2020,590
153.6,226,150.316911278387,216.274820021034,2017,591
152.4,212,138.93617587441,215.701054332494,2018,591
153.9,225.5,155.179785606326,225.11001436822,2019,591
159,218.5,156.337022279427,220.952685809206,2020,591
159.8,211,150.96579083868,214.901251123243,2018,592
169.8,226,163.764686697411,226.430625445037,2019,592
157.6,230,159.119588846366,224.861885300281,2020,592
167.8,183,136.226091510394,196.26264250222,2020,593
184,232,184.75370893799,228.863291882487,2013,594
161.5,220,166.821148387933,220.63787674736,2014,594
168,227,161.893393253895,227.147154352857,2015,594
150.5,225,151.142492786837,215.018632313276,2016,594
190.7,239.5,189.01251235724,242.873151708187,2017,594
152.9,223.5,150.411446393345,218.714457117449,2018,594
173,237,179.840124515108,235.740593635969,2019,594
152,219.5,149.545709915117,216.071274810019,2020,594
149.9,220.5,157.028092384685,212.011242103583,2012,595
161.8,236,175.217392774629,230.73191592797,2013,595
143.5,200.5,125.430191062902,208.532230222929,2014,595
142,209,141.550752428623,206.319416578669,2015,595
128,214,119.783823348289,202.448802584369,2016,595
133,224.5,131.2181268226,211.067664060695,2017,595
142.9,222,147.701653090398,216.40060144248,2018,595
157,232,168.301784006749,229.589706815655,2019,595
134,211,129.424147921409,206.552143140561,2020,595
17.6,82.5,27.2344348373109,69.1303069155779,2021,595
157,242.5,163.09369619386,232.068662381526,2018,616
170.6,236.5,162.143776004522,226.1360426997,2019,616
160.8,234,153.126040911404,225.945935097803,2020,616
136,186,123.874299646645,205.43673266047,2015,617
202.4,247,170.126346238588,245.286670945472,2016,617
159.4,245,173.481973746334,241.161185262933,2018,617
151.9,240.5,161.787920717735,229.724304171295,2019,617
127.1,199.5,126.169983612962,207.041898153266,2020,617
154.4,243,164.651968927931,230.937058107626,2017,618
158.5,229.5,159.731342475452,231.037732012716,2018,618
171.2,231,167.708035321133,232.898631453614,2019,618
157.3,221.5,151.461177794363,221.232821445018,2020,618
141,246,133.752480900369,218.902289799422,2017,619
177.6,233.5,153.491015489612,225.812458676229,2018,619
152.3,226.5,155.076153049354,223.535349840436,2019,619
164,227,160.804120980605,223.926097208915,2020,619
166,237,157.007160956516,241.665973321538,2013,620
181,247,166.202087872538,241.591196460795,2014,620
150,242,151.721100897059,233.985428184455,2015,620
124.8,210,112.815360584132,195.037005229754,2016,620
162.4,246,162.903644884995,237.012653181384,2017,620
165,227,162.070110314967,226.948379136769,2018,620
152,229.5,155.303140933752,224.056272399679,2019,620
150,227,149.400959466131,222.235562674431,2020,620
193.8,222,177.960953520141,223.848839534734,2014,621
142.9,187.5,131.078583693963,188.384367996272,2015,621
165.8,232,173.266803396335,231.687813390566,2016,621
146.4,224,152.419578602494,220.490301428809,2017,621
159.8,222,158.553153356794,221.653384096243,2018,621
146,222,151.320486869393,219.536862879846,2019,621
152.4,217,144.611031712589,215.88940083074,2020,621
172.1,233.5,172.647185669604,233.375087426726,2013,622
164.3,267,189.52617438928,257.228290426932,2014,622
125.1,202,124.361416888368,203.309871821262,2015,622
138.8,214,133.70693389705,207.471947614891,2016,622
152.5,229,154.233206137022,226.680566271196,2017,622
154,223,153.918302378536,222.677051605296,2018,622
156,224.5,149.239819626644,221.931860957105,2019,622
138,215,133.650021354352,212.5306294219,2020,622
66.3,81.5,46.3732548171289,80.1049089663375,2021,622
172,248,169.871638689077,229.200608125245,2017,644
156,226,155.892230225268,225.166651517603,2018,644
137.2,208,140.132727148852,214.173948586066,2019,644
129.5,250.5,152.067950153695,233.282253661042,2020,644
214.6,259,194.830146668901,258.216613083096,2016,645
116.4,222,130.219010645765,205.128059857626,2017,645
159.8,223.5,155.698793367847,234.441504716445,2018,645
159.2,233,162.645190339709,225.969859302658,2019,645
141.8,242.5,136.371608981387,221.125183284464,2020,645
199.6,249,190.570654507942,247.163014511455,2016,646
198.1,248.5,190.031811808919,249.148450502624,2017,646
167.9,224,164.134775514358,224.309249182082,2018,646
161.6,227,156.485051585064,224.441439820818,2019,646
154.5,231.5,160.659813417852,227.286928688656,2020,646
172.7,221.5,172.392559237995,222.370492529551,2015,647
140,237,157.751747268871,237.39628391723,2016,647
