"q10","q50","w10","w50","year","HEXcell","code"
149,169.5,124.769080686578,184.819719426673,2012,620,"RE"
154.6,193.5,140.471187323305,200.908760040323,2016,620,"RE"
154,197,155.668801856419,196.870761793629,2017,620,"RE"
153.4,187,136.871280029009,199.404179354952,2018,620,"RE"
155,199,150.520006494679,201.217976723656,2019,620,"RE"
155,194,150.164637779222,198.422134397713,2020,620,"RE"
151,192,139.557457590308,199.920197094048,2010,620,"RL"
155.3,206,154.069983072253,209.395837373932,2011,620,"RL"
140,190,132.566943468887,192.958206484138,2012,620,"RL"
151.3,212,153.552865183151,206.77779505147,2013,620,"RL"
155,192,147.048717746236,199.104325246411,2014,620,"RL"
150,192,142.801256044503,198.691465332264,2015,620,"RL"
146.4,211,145.824154660428,208.271864273144,2016,620,"RL"
151,206,148.116191917506,204.643098438113,2017,620,"RL"
153,207.5,146.541020409249,209.113475247504,2018,620,"RL"
155,213,153.771478950187,210.657876792968,2019,620,"RL"
155,207,153.705529592213,206.038864578276,2020,620,"RL"
133,192,129.533813342725,189.134765711493,2012,620,"RP"
137.4,202,137.729407249983,194.681129821512,2013,620,"RP"
155,207,144.962214351266,198.546988715214,2014,620,"RP"
145,206,142.879197202996,199.061437933368,2015,620,"RP"
141.4,207,142.324521671715,202.849765183176,2016,620,"RP"
141,198,136.534512670715,194.248256044877,2017,620,"RP"
150,206,142.640292218858,205.120868999047,2018,620,"RP"
151,210,147.216952479002,206.805334987087,2019,620,"RP"
152,207,150.362416240238,203.742039013004,2020,620,"RP"
154,187.5,144.958058315867,192.340236591844,2020,621,"RE"
167,211,159.272483699477,226.114226166344,2016,621,"RL"
164.8,209,153.786296002504,211.607696221699,2017,621,"RL"
162,210,160.191514330877,212.722406688681,2018,621,"RL"
164,217,163.491798768332,219.53120952563,2019,621,"RL"
154,202,151.186478798554,202.828438676924,2020,621,"RL"
148.4,209,147.17812172861,202.545320595326,2017,621,"RP"
159,201.5,152.477741713475,206.646274580753,2018,621,"RP"
154,215,154.44137954163,214.593599111213,2019,621,"RP"
151.5,206,150.279928789561,204.056760979369,2020,621,"RP"
148,185,138.081972242107,197.066310916976,2017,622,"RE"
151.6,217,154.735563799142,206.847022274764,2018,622,"RE"
156,221,162.58952172081,212.358580394552,2019,622,"RE"
152,191,146.244820963528,196.886191300614,2020,622,"RE"
156,204,148.473606650403,203.905983026275,2011,622,"RL"
140,188,131.146534346716,188.690794987878,2012,622,"RL"
159,210,155.079596157503,206.60488526733,2013,622,"RL"
145.9,186,128.240711450733,194.033657159495,2014,622,"RL"
146,190,140.513555361562,193.975785751863,2015,622,"RL"
155,216,151.709343612866,211.950138260196,2016,622,"RL"
148,199.5,143.477247832371,204.356340120703,2017,622,"RL"
151,217,154.130477351129,211.417424627825,2018,622,"RL"
154,222,161.222807237948,216.63090556332,2019,622,"RL"
151,195,146.078296784523,199.715453697656,2020,622,"RL"
159,217,156.56768019494,207.349069590083,2013,622,"RP"
134,186,128.935603361208,191.544382831488,2014,622,"RP"
135.1,186.5,131.434688618421,193.094401846609,2015,622,"RP"
140.2,215,149.590166202249,210.526671393736,2016,622,"RP"
129.9,198,132.075117784959,196.911153702186,2017,622,"RP"
149,210,147.577288877866,207.709724731378,2018,622,"RP"
152,216,154.782797096211,214.263078634474,2019,622,"RP"
148,199,144.017573446759,199.594687837419,2020,622,"RP"
126,198,122.873999093351,194.216571694437,2017,644,"RL"
145.1,194,129.532803985278,198.083469229593,2018,644,"RL"
149,211,141.860117914727,208.972203114495,2019,644,"RL"
148.1,202,142.651849457921,203.015109114114,2020,644,"RL"
111.5,198,125.591174449173,187.202487342879,2017,644,"RP"
