"q10","q50","w10","w50","year","HEXcell","code"
144.4,170,131.405263369228,171.402479644791,2019,621,"RL"
148.5,165.5,129.698182550535,172.59789402331,2020,621,"RL"
186,238,180.224847375917,241.306445717134,2017,621,"RP"
160,224,167.822605050104,218.717871369052,2018,621,"RP"
205,247,199.643793413759,249.318086000608,2019,621,"RP"
196,235,188.431799263201,236.773900278066,2020,621,"RP"
180,238,181.250709855343,233.490456472043,2017,622,"RP"
171,215,163.189938989548,219.748300403202,2018,622,"RP"
188.7,246.5,186.21225684203,243.843431015363,2019,622,"RP"
183.6,221,174.590612952964,226.30070335261,2020,622,"RP"
201.8,250,202.148057116254,251.836213135141,2020,644,"RP"
157.5,223,137.896687222147,223.267472681411,2019,645,"RP"
201,253,198.7441949356,243.990145865411,2020,645,"RP"
185.2,221.5,173.503531393061,218.933545274601,2020,646,"RL"
231.1,238,202.374087659412,245.899297930808,2015,646,"RP"
234.9,244.5,217.784291259535,254.10644824076,2016,646,"RP"
170,229,168.6855370396,227.692340092225,2018,646,"RP"
163.7,191,141.6006966466,207.970957926476,2019,646,"RP"
190.2,254,200.470265823734,245.956396438666,2020,646,"RP"
161,234,174.461306941211,229.589555437828,2018,647,"RP"
171,214,160.360572577833,218.083517863572,2019,647,"RP"
212,256,212.548436459052,252.491411972858,2020,647,"RP"
131.8,191,128.479614540778,183.952317285118,2018,648,"RL"
128.2,192,113.138914780099,192.161502778219,2019,648,"RL"
141.2,180,131.368706819731,187.858162366366,2020,648,"RL"
225,254,210.541311242405,254.483673623385,2016,648,"RP"
214.2,248.5,203.288717817958,245.751101673283,2017,648,"RP"
186.6,242.5,184.579151906473,233.776520953858,2018,648,"RP"
185.2,241,186.004008156463,236.098872684915,2019,648,"RP"
173.5,244,187.309298262495,234.986822405206,2020,648,"RP"
132.8,204,141.020868940438,191.050662180656,2019,649,"RL"
118.2,199,119.328285275688,189.648292889742,2020,649,"RL"
185,236,187.703289881022,237.176854866902,2016,649,"RP"
169,230.5,165.030997734811,229.792982803328,2017,649,"RP"
176,245,180.907619012298,239.677638448477,2018,649,"RP"
172.8,239,176.117399646925,233.073835006495,2019,649,"RP"
174.7,242,179.065748716352,235.713764029797,2020,649,"RP"
157.5,220,155.302386016658,220.894565066546,2018,673,"RP"
153.1,205.5,140.374162557423,208.992972379934,2019,673,"RP"
244,261.5,234.08819727507,261.209426424838,2020,673,"RP"
174,201,139.22498909837,207.940384352586,2019,674,"RL"
159.7,219,159.674527436685,215.811840659683,2017,674,"RP"
238.5,250.5,230.193235674679,252.646323409762,2018,674,"RP"
137.8,207,143.961718405796,204.376027826762,2019,674,"RP"
176,258,205.293237888543,250.494338070097,2020,674,"RP"
171,187.5,143.107073624562,203.929905103464,2017,675,"RP"
173,223,162.419485228162,216.498612264497,2018,675,"RP"
166.1,228.5,176.980104068457,220.350788282655,2019,675,"RP"
175,244,176.011838654766,231.678503070964,2020,675,"RP"
111.4,175,93.6828344255782,169.650014419876,2019,676,"RL"
107.9,171,100.838536272999,168.905723312698,2020,676,"RL"
192,241,188.273839018253,241.596882518225,2016,676,"RP"
142,190,116.501897293393,200.168991615353,2017,676,"RP"
182,254,191.274558910078,246.927923878547,2018,676,"RP"
154.3,228.5,153.84053150191,222.977947283262,2019,676,"RP"
171.6,249,181.512994358082,239.03614928857,2020,676,"RP"
119,152,89.0341700092287,175.823489662787,2019,702,"RL"
155.4,219,146.732136916332,213.237315158926,2016,702,"RP"
162,189,133.311541159728,196.673838886809,2017,702,"RP"
166.5,231,152.666923551376,221.487427521452,2018,702,"RP"
153.8,192,141.966919386865,203.690150048069,2019,702,"RP"
183.4,256,199.663371583138,251.841087144696,2020,702,"RP"
149.2,213.5,151.686153500782,210.136428048352,2016,703,"RP"
108.1,176.5,99.4772322123774,188.596206128252,2017,703,"RP"
144.9,215,144.429649582773,215.552085655133,2018,703,"RP"
131.6,181,119.626052682854,196.150277282293,2019,703,"RP"
140.3,256,164.062428564901,232.861441196487,2020,703,"RP"
193.6,202,172.696710501589,218.180966712764,2019,739,"RP"
158.8,204,154.283967500621,206.768308506842,2020,739,"RP"
