"q10","q50","w10","w50","year","HEXcell","code"
152,216,157.218355839319,203.88303675358,2020,648,"RE"
117,146,99.158319024248,163.772052433699,2013,648,"RL"
122,152,109.639495340189,160.778968077533,2014,648,"RL"
125,180,114.585502235118,202.950249538971,2015,648,"RL"
151,178,125.316833787185,189.437902193201,2016,648,"RL"
152,180,123.803213751706,205.514939411437,2017,648,"RL"
158,195,145.166532601563,198.740848811264,2018,648,"RL"
149,207,147.486217831578,194.978343274406,2019,648,"RL"
152,216,158.749818354234,206.421542259977,2020,648,"RL"
117,146,94.8542186976108,147.371286505901,2013,648,"RP"
116,151,108.988739119254,153.653874288863,2014,648,"RP"
102,143,88.4518946637109,176.003680472916,2015,648,"RP"
108,184,119.904480857307,181.11993425129,2016,648,"RP"
103.6,175,102.998988405004,186.0342446041,2017,648,"RP"
113,171,116.706876519552,177.61440657398,2018,648,"RP"
146,207,146.585700687886,195.080761064421,2019,648,"RP"
152,216,161.814366410043,208.295788725154,2020,648,"RP"
153,215,164.525369403954,210.630806675922,2019,649,"RE"
151,218,166.987006863978,208.408963013046,2020,649,"RE"
206,224,186.684472237495,215.631093349521,2012,649,"RL"
145,208,132.071154759282,192.478880324383,2013,649,"RL"
217,228,197.994872931631,225.040133378457,2014,649,"RL"
144,175,128.284892768048,191.04416057047,2015,649,"RL"
192,226,186.764085912234,236.306816098028,2016,649,"RL"
139,154,117.140670125979,172.717821213193,2017,649,"RL"
141,211,147.806764410197,203.328823907763,2018,649,"RL"
153,215,161.747731094109,210.532385995768,2019,649,"RL"
151,217,164.466921219416,207.32991331594,2020,649,"RL"
120,186,110.398290199092,178.745493768976,2013,649,"RP"
146,223,176.250618557147,215.347881397816,2014,649,"RP"
119,150,105.336531821065,167.294608711622,2015,649,"RP"
162.3,221,155.066707057666,218.9875737078,2016,649,"RP"
119,154,109.373210820492,172.37933708669,2017,649,"RP"
125,211,139.377925024546,198.574420956052,2018,649,"RP"
144.1,213,155.285257828044,205.923295403283,2019,649,"RP"
151,216,163.486003009882,206.538571253102,2020,649,"RP"
177,185,157.225064663477,197.861130358005,2020,672,"RL"
177,185,152.462689635507,196.8898239526,2020,672,"RP"
134,134,99.6552821831714,148.194530039168,2017,673,"RL"
127,213,127.598243829363,194.773165020246,2018,673,"RL"
199,228,194.331754018302,223.903762470589,2019,673,"RL"
148,229,168.736438818133,222.016653501813,2020,673,"RL"
127,202,118.787248312182,187.757853804452,2018,673,"RP"
199,228,194.22989999017,222.782285609783,2019,673,"RP"
115,229,153.720172013539,214.061225147247,2020,673,"RP"
181.8,201,165.10670866462,205.433043991228,2018,674,"RL"
121,158,112.211782854237,184.883932704023,2019,674,"RL"
162,206,153.777555414085,202.860117810823,2020,674,"RL"
113,200,113.249306000061,183.391087022113,2019,674,"RP"
109.5,206,130.548710639781,195.530537431711,2020,674,"RP"
108,177,109.777637778648,191.985482265896,2015,675,"RL"
172,223,165.187352267407,217.356096616866,2016,675,"RL"
162,199,158.80365230487,207.376830476353,2017,675,"RL"
118,192,134.201943663768,183.292694266017,2018,675,"RL"
139.6,200,138.240625840213,196.457436675785,2019,675,"RL"
124.1,199,134.883036373028,192.519175269049,2020,675,"RL"
108,129,72.5881489776852,146.703532037924,2015,675,"RP"
111.5,209,145.125015684051,199.467051674009,2016,675,"RP"
162,190,151.188970492675,190.843344968136,2017,675,"RP"
118,193,140.980492325801,182.511150486408,2018,675,"RP"
145.3,195,137.738618276698,192.413294562985,2019,675,"RP"
116.9,206,132.650492492151,193.731644064708,2020,675,"RP"
