"q10","q50","w10","w50","year","HEXcell"
153,230,148.648907560172,216.874740034443,2017,591
152.7,221.5,145.472475241522,220.013786751375,2018,591
161.3,241,174.67818998861,234.815482295425,2019,591
159.9,218,160.474439345641,222.46914549338,2020,591
146,221,158.984922149541,221.207062697473,2018,592
160,243,176.19778042621,234.947817256489,2019,592
158,237,162.627898297565,226.471128620018,2020,592
169.4,179.5,132.451634099843,190.053629113816,2020,593
192.4,234,193.433062890427,232.594028362169,2013,594
162.1,218,165.208083504821,218.711183781564,2014,594
172,233,169.252448614706,231.417134689072,2015,594
151.8,226,151.755113868118,217.577988229337,2016,594
203.6,252,198.776668900008,248.454011159351,2017,594
154,232,162.015812516908,225.015959201087,2018,594
196.5,246,198.85129982625,243.60576030712,2019,594
156,221.5,159.541698599161,219.14024590613,2020,594
173.1,228.5,175.395981535485,221.546167476248,2012,595
161,232,166.9850108879,225.694458354215,2013,595
147,203,130.791219461715,211.646556183978,2014,595
142,214,140.489513793089,204.759936232123,2015,595
127.9,222,132.661355872913,213.762584085811,2016,595
150.2,242,155.551642051626,227.008743175698,2017,595
145.2,232,158.83193676104,222.421025825928,2018,595
178,242,189.402332685999,240.27404850293,2019,595
148,217,146.885734000892,213.431986246743,2020,595
17,79,29.4290147195374,69.482654251256,2021,595
174,267.5,190.148164324001,246.730167845128,2018,616
151.4,256.5,173.593873977894,232.809247815342,2019,616
156,207,142.011761419214,219.173990061893,2020,616
216,253,187.231447972534,256.391081181758,2016,617
158.5,258,183.9431104219,250.66063237479,2018,617
148,251,170.147282973261,234.504388225799,2019,617
123.2,215,126.880224142085,207.219000503437,2020,617
195,244,188.627658826457,239.949266503931,2017,618
199.6,232,176.906883614425,239.982578396212,2018,618
190,240,177.851763172638,238.615224867801,2019,618
153.8,224,153.951712959813,221.309650162368,2020,618
134,246,134.77890155334,215.725716780377,2017,619
186.5,242,165.523891209754,231.819135449999,2018,619
158,241,171.417950505129,232.215194350857,2019,619
176.9,241,179.180281866103,234.574287311652,2020,619
180.7,247.5,172.435298175561,246.916042745856,2014,620
154.5,253.5,163.874257445618,243.924894984836,2015,620
125,152,104.808504063961,186.536705383815,2016,620
183,258,187.875124587145,247.08895398445,2017,620
174,236,175.604324716007,234.295777062011,2018,620
159.6,239,171.034133781717,232.552939310451,2019,620
158,242,167.903094147251,232.768625701766,2020,620
189.8,222.5,177.877777694476,223.883983098995,2014,621
143,168,128.855582623765,187.748459151522,2015,621
213,236,191.689935682701,237.879394568796,2016,621
151.2,224,163.382261441971,222.330454560106,2017,621
169.2,233,171.292535986397,227.697731156804,2018,621
158.8,230,167.274252500242,227.446151709321,2019,621
156,219,148.864281936066,218.114440325192,2020,621
176,242,186.578602720543,241.094188970744,2013,622
158,265.5,175.113016492751,251.718278795673,2014,622
132.8,184,112.162706206303,185.207654727939,2015,622
121,193.5,119.208801302493,197.126459303837,2016,622
153.4,225,154.028064768994,223.791996662625,2017,622
159,232.5,164.792159531668,228.311945531988,2018,622
168,237,165.65086947787,231.01362345375,2019,622
146,218,140.941984755428,214.198752276545,2020,622
68,82,50.7909395310834,82.5666063847892,2021,622
187,265,204.968268157338,249.532752231063,2017,644
157,243,174.283585767859,234.71109807993,2018,644
132.5,221,148.956236619944,218.703766856225,2019,644
133.1,256.5,171.614288032598,242.340280703068,2020,644
158,254.5,173.923855710085,244.538416848364,2016,645
101,222,118.594770663519,203.652609086183,2017,645
153.4,225,155.662385297583,235.487355969187,2018,645
160.3,244,173.134314521455,235.494942567898,2019,645
176.6,256,155.841743696919,233.186646579809,2020,645
212,255,196.950699768044,249.27910203972,2016,646
205.4,250.5,193.750914158501,250.471371311213,2017,646
179.5,230,171.453093038404,228.192126167997,2018,646
172.8,229,167.220119487736,228.204263284478,2019,646
180,241,179.376747764322,234.985490436025,2020,646
168.9,219.5,166.240367060649,221.09906140448,2015,647
164.6,234,165.166858091385,236.930570374289,2016,647
189.5,262,199.017059981059,259.898939527114,2017,647
193,243,186.734944415975,239.496162730492,2018,647
180.9,242,184.980788434164,236.955268649435,2019,647
199,247,188.716158809289,240.773089910136,2020,647
126.2,233,150.182122968201,222.450640791913,2013,648
155.9,232,152.240875398537,221.465943616957,2014,648
148.9,253,191.483306501418,241.70355211355,2015,648
141,231,143.877760692814,215.890390190467,2016,648
195,257,196.207371673677,245.935303373899,2017,648
176,237,173.119295226646,234.861415928338,2018,648
172,237,180.131451180756,232.937179362338,2019,648
158,242,174.335250660516,234.891708843387,2020,648
167.4,248.5,174.06340956687,238.881729050323,2013,649
141.6,229,161.465461242488,220.43744263526,2014,649
138,204,130.308222387416,206.145179356633,2015,649
122,233,139.594420260082,219.478015930131,2016,649
153.5,235.5,164.390511656377,229.309491771675,2017,649
145.4,229,159.557666982342,223.446414844002,2018,649
