"q10","q50","w10","w50","year","HEXcell"
142,260,157.081672619411,232.572791604165,2013,590
144.4,159.5,113.530700076352,177.310814402341,2014,590
148.6,214,148.941606746891,213.003774468486,2015,590
155.1,247.5,173.314698477986,239.920314931942,2016,590
174.1,230.5,164.538361741166,226.276315559685,2017,590
155,222,156.770791514104,221.531077301716,2018,590
166,233,166.246012370964,230.054522998092,2019,590
143,200,130.395881083135,202.16565468983,2020,590
117,147,90.8012727064813,178.894384494934,2008,591
155.8,249,174.976563476188,232.980604231325,2014,591
140.4,218,137.754118277937,211.789092878509,2015,591
147,234,152.729808202123,221.631327963546,2016,591
163.8,227,165.842723886788,222.5140291448,2017,591
160.3,224,158.492097896015,223.274472871536,2018,591
170.2,234,172.444686319406,231.404935093382,2019,591
160,218,154.766897900901,219.220474469427,2020,591
184.8,257,184.332431862104,243.084062782397,2014,592
147,201,137.988880382877,196.632492262172,2015,592
159,236.5,155.08640909078,233.192593038021,2016,592
142.2,244,160.004729684661,228.997924823209,2017,592
181.3,238.5,175.038980613591,236.788101023227,2018,592
181.7,240,179.442179940258,235.634332907479,2019,592
158,222,154.053145231489,220.066667076771,2020,592
212,239,200.680410334757,242.664044512396,2006,593
140.4,213,131.466363291685,201.886838912995,2007,593
169.8,218,169.460390025971,225.279948804277,2008,593
153,215,152.14029500916,216.874630362721,2009,593
115,194,112.855668160285,194.671986123118,2010,593
182,237,182.484204404936,230.821127281302,2011,593
151,223,158.520570921862,216.212599379111,2012,593
152.1,243,173.601277358678,230.484571936933,2013,593
160.4,232.5,160.389364956988,225.552332393077,2014,593
140,205,131.009830441195,203.331732168616,2015,593
147,212,135.681242181335,211.165238403098,2016,593
158,243,171.499358391957,233.584112188634,2017,593
158.4,235,167.638171391073,230.104282159528,2018,593
198,241.5,190.544894603057,240.780571893135,2019,593
155,211,144.107568688795,209.685272690842,2020,593
216.1,251.5,193.707377895436,246.585205854759,2009,594
187.8,225,179.997759809508,232.802439722834,2011,594
182.6,211,170.525524219017,212.773020439968,2012,594
181,234,169.618743151286,231.710942310982,2013,594
148.8,219,146.677728558922,214.62274024092,2014,594
147,235,154.755268247534,223.702309955062,2015,594
134.8,224,129.757698733346,204.389566987763,2016,594
162,238,174.523306204416,234.588460160994,2017,594
151.4,227,155.84205344506,221.311006010473,2018,594
181,242,185.681443342767,238.671906203129,2019,594
158,221,154.412826243877,219.889179620601,2020,594
162.1,268,156.48472642542,238.599739445097,2006,595
185.4,225,175.75763830825,226.691679022132,2010,595
164.3,235.5,158.814879805218,229.583676842511,2011,595
159.2,233,179.900245604108,228.297605128664,2012,595
161,236,173.641196628682,231.642812569404,2013,595
138.8,200,132.311075507726,203.577267888783,2014,595
138.8,200.5,126.647080924273,204.373130741876,2015,595
135.2,226,135.487750071799,213.188692140967,2016,595
148,243.5,150.491690801322,226.626424457924,2017,595
146,232,152.13405151444,222.961320743661,2018,595
175,242,182.669104167669,238.481083773974,2019,595
147,217,144.073482808022,214.174796755665,2020,595
221.1,243,188.873482753183,248.576694356209,2016,616
206.4,244,203.036904343103,242.989712937441,2017,616
168.6,253,183.45201751446,240.541891677326,2018,616
167.5,241,164.216438532925,226.683554128895,2019,616
151,233.5,152.936611146016,227.350056434083,2020,616
135.6,210,140.374548423355,211.887388207843,2015,617
196.2,247,183.135035317857,245.043832561403,2016,617
169.2,268.5,180.298359651237,245.001302089478,2017,617
191,254,190.05739379926,249.670876224743,2018,617
153.6,250,177.964022759095,239.891940922832,2019,617
140,251,160.019023373195,233.563643846036,2020,617
142.2,236,155.48292596107,228.129168744449,2013,618
188.6,245,182.626447322552,238.223385489824,2014,618
130,225.5,128.49793909095,209.091767554784,2015,618
141.1,235.5,152.574134917132,226.564928190357,2016,618
154,241,167.304220139039,227.937892237478,2017,618
180,234,177.503965782367,236.146529940948,2018,618
174,227,161.17325996294,226.56648338148,2019,618
155,214,146.969112534407,212.223123741441,2020,618
217.5,260.5,211.361818689077,257.084159914639,2013,619
168.4,240,173.324401646347,233.752685300563,2014,619
160.8,236,166.021988219474,233.180991521748,2015,619
153.2,234,157.684120912554,230.010764846375,2016,619
155.2,246,173.316530873754,235.832343271135,2017,619
182,239,175.025610753734,235.882298230163,2018,619
184,239,179.167165520805,235.525713341317,2019,619
163,227,164.711935646126,225.496161345566,2020,619
159.8,216,118.162097794669,197.14807595463,2006,620
97,182,85.6867035368183,179.702040227753,2008,620
163.7,227,153.094036682022,217.257749290635,2009,620
133,223,151.312737662537,220.093891931456,2010,620
196,247,178.927592822048,244.938196884395,2011,620
158,231.5,157.855571389673,227.034284829923,2012,620
171.8,243,153.532237506607,233.119377072538,2013,620
182.8,242,182.169532783496,240.618199373411,2014,620
147,237.5,156.590884705875,225.234197990589,2015,620
138.3,223,138.183360657702,211.507057018449,2016,620
182.3,250,179.920677981616,244.233065406824,2017,620
166.4,237,168.226500053142,232.799723228017,2018,620
181,238,173.941945891079,235.560025916351,2019,620
156,228,156.192974190794,224.496027568912,2020,620
208.4,247,185.199534940208,245.945647381406,2011,621
112.4,175,55.3758347861252,151.814430030117,2012,621
151.2,204,139.453978216799,210.63257258743,2013,621
177.2,235,169.705983690421,230.777676313329,2014,621
146.2,186,121.024149199638,196.192410805998,2015,621
156,236,173.254173914779,232.928231788419,2016,621
178,241,177.099636183498,235.436760749231,2017,621
166,232,166.171154960122,228.128084466676,2018,621
162,237,167.270372495311,232.582748896857,2019,621
156,219,145.477551567894,217.986220425895,2020,621
156.9,260.5,163.629207263372,230.143593677235,2003,622
123.8,147.5,89.3292238733836,167.092283025791,2004,622
126,151.5,95.2887714983309,185.312463397517,2006,622
160,246,185.727198548765,240.904256101902,2007,622
120.5,190.5,69.4655551906197,170.283373707529,2008,622
116,218,99.3494418037311,202.988433022275,2009,622
160.5,239,162.467547714857,228.698142207788,2010,622
155,233,167.943153827021,227.37189425252,2011,622
145.1,212,135.013205082942,208.607594098211,2012,622
165.4,237,164.680747955933,231.20386602074,2013,622
162.9,260,181.82579295466,249.004417452209,2014,622
135,167,117.241043111833,186.870908845404,2015,622
134.1,194,123.261027016491,201.779388151333,2016,622
147.8,235,158.142232399567,228.660047148537,2017,622
162,235,168.036455841162,230.858306568092,2018,622
174,239,172.735466189467,233.954059504691,2019,622
150,222,145.665290655865,219.25960159143,2020,622
230,254.5,207.462037986679,253.869171233908,2014,644
110.4,187,116.780008492315,202.10307453498,2015,644
214,254,205.402368533978,248.448057008773,2016,644
176,261,191.299134890223,242.150736055699,2017,644
166,244,171.284388644384,234.585959731212,2018,644
127.6,217,146.547990293546,214.536663931769,2019,644
143,251,164.373070138836,235.549064430116,2020,644
138,260,179.667618611079,245.250952575011,2013,645
93,215.5,115.279954563183,210.528357166049,2014,645
156.6,268,172.600090270306,241.905363504463,2015,645
116.8,255,163.415235023754,245.506328057641,2016,645
130,233.5,151.825179176348,223.328510750642,2017,645
176,245,180.698827839727,241.408925282743,2018,645
150,241,159.77864467103,229.453206728615,2019,645
155,255,173.284062616684,240.444548795848,2020,645
170,235,169.23488062684,234.513931099582,2013,646
122.1,229,109.864510286843,207.017116242018,2014,646
173,249,189.645144281403,246.670966950213,2015,646
153.5,247,174.725995189461,239.427088428048,2016,646
176,239,166.152229868299,233.592980976174,2017,646
175,237,176.506851594218,233.452417865728,2018,646
159,228.5,162.694423272496,225.689483072933,2019,646
174.8,242,176.076399457055,236.928842114045,2020,646
182.2,214,180.681023526588,216.123611756632,2005,647
215.4,229,199.826760238936,235.078071907503,2010,647
142.8,240,167.833112837877,225.353497263979,2011,647
141.5,220.5,144.119988581107,220.014382154849,2012,647
131,193,117.40827399128,195.453556071357,2013,647
170.2,228,152.888547146394,224.854034325635,2014,647
159,221,148.500163551264,222.219384276276,2015,647
175.4,235,170.489329614869,234.93458965895,2016,647
165,244,166.805181350692,235.410789866697,2017,647
183.9,244,185.328166973873,241.419340435575,2018,647
178,241,177.884502798222,235.847277611275,2019,647
182,243,180.897696541636,237.399200932381,2020,647
154,206,148.076057678356,210.347257191249,2006,648
165.8,240,171.176104226225,228.444200152137,2009,648
136,185,106.857834125161,184.524068738572,2010,648
160.6,246,161.230977236538,228.719692367995,2011,648
150.2,214,136.302013823001,212.127989846465,2012,648
162,250,171.171837562382,237.347855942137,2013,648
153.5,234,150.740718222305,222.468128375136,2014,648
144,248,164.080286092534,233.870697803484,2015,648
141,229,156.842137745908,224.414342697863,2016,648
192.7,254,193.017142024918,248.031272759013,2017,648
172,239,175.098822560747,235.162723140917,2018,648
172,236,176.985611488568,233.069451502352,2019,648
169,242,176.489212742564,236.6900172419,2020,648
180.7,216.5,166.799300028872,222.241878265048,2008,649
212.2,243,194.398364328324,239.444848372816,2009,649
140,209,143.579161233443,203.836286085077,2010,649
160.6,232,158.927252986064,228.358457881512,2011,649
175.7,240.5,168.582472000223,239.19589233651,2012,649
165,252,169.862609267376,241.32471835657,2013,649
178,232.5,174.194959274406,230.151664929615,2014,649
128,197,113.388239132451,196.756802579421,2015,649
122,236,138.109666125242,219.953283081364,2016,649
170,244,174.170269447941,238.708593514908,2017,649
156,235,162.726900525089,230.725416284198,2018,649
166,233,163.564236695127,227.438424133513,2019,649
142,229,155.839662837754,226.014061736382,2020,649
146.9,255,156.807290732454,234.14918073707,2015,672
99,237,115.654325625689,202.803653195034,2016,672
220.1,246.5,190.916056524837,248.524882484081,2017,672
175,245.5,167.932500031111,242.443153436445,2018,672
126,236,143.271342766988,217.134804233245,2019,672
106.4,228,125.792337180168,206.651465116932,2020,672
176.4,257.5,199.760563198213,249.770846546893,2013,673
178.6,223,171.096693861896,216.697112641964,2015,673
217.7,235,192.417814725987,238.684066002765,2016,673
163,232,149.237893942171,226.532245697121,2017,673
165,233.5,162.147822732367,225.818227458839,2018,673
136,214,141.906422307565,209.68300358674,2019,673
166,243,171.356531423638,233.405002253694,2020,673
139.6,253,162.813978256103,245.83325711332,2014,674
147,234,169.327383427408,230.585565332735,2015,674
113,243,131.586143961239,213.796487997606,2016,674
199,233,179.84676814083,236.776275885874,2017,674
170,239,172.406201996098,231.765240799842,2018,674
159.6,227,164.523034494582,223.518405337091,2019,674
119,240,158.255837108213,226.206902989251,2020,674
