"q10","q50","w10","w50","year","HEXcell","code"
160,187,159.452495418972,189.222546370765,2018,563,"RE"
167,191,160.585461245036,196.66783704294,2019,563,"RE"
162.4,202,178.974946891095,199.931400978979,2020,563,"RE"
174,181,159.210699385617,183.271861965942,2013,563,"RL"
164,177,139.113639100715,176.819162185633,2014,563,"RL"
160,183,153.196275846199,182.136861705727,2015,563,"RL"
151,184,126.714483867873,188.277907501151,2016,563,"RL"
151,181,140.927362953357,183.932481274438,2017,563,"RL"
160,195,159.258448070283,199.833616655956,2018,563,"RL"
170,194,151.711429545997,200.280751313349,2019,563,"RL"
165.6,198,158.532474608364,197.569767355292,2020,563,"RL"
141,183,126.783341680801,191.125859836264,2015,563,"RP"
134,206,147.207436239393,197.064475255596,2018,563,"RP"
146,184,141.702071288727,194.841284002842,2019,563,"RP"
167,189,159.742823469578,196.043842822109,2018,564,"RE"
158.6,183,153.804641351024,185.145664643564,2020,564,"RE"
162,185,146.31899642587,190.651047597345,2015,564,"RL"
158,175,142.955363546641,187.753783640909,2016,564,"RL"
160.4,179,139.521320826405,188.11210727306,2017,564,"RL"
153,165,134.658218628687,174.239666509238,2018,564,"RL"
170,197,162.655310448473,200.483394504034,2019,564,"RL"
161,187,151.024890961746,191.805650402041,2020,564,"RL"
142,170.5,130.030220878402,179.940581346611,2016,564,"RP"
132,164,110.045044551447,170.378229820116,2017,564,"RP"
144.6,163,127.357434485385,170.633116797465,2018,564,"RP"
134.5,168.5,125.854748092818,170.978491408373,2019,564,"RP"
145,166,130.05438288675,172.202690758094,2020,564,"RP"
161,184,155.215581278772,191.827628908822,2018,565,"RE"
173,193.5,167.208630511473,198.266392059721,2019,565,"RE"
165.6,183,150.808676940789,188.049698914779,2020,565,"RE"
163,199,157.785981903542,205.053263603682,2017,565,"RL"
162,184,149.612356223306,191.677357754645,2018,565,"RL"
169,193,159.01678655065,200.060185080274,2019,565,"RL"
165,186.5,149.705386869602,194.369228426793,2020,565,"RL"
153,170,121.205585095352,174.940970626704,2018,565,"RP"
153,176,134.979789486734,177.081849387531,2019,565,"RP"
145.3,172,133.170943900809,175.268413537678,2020,565,"RP"
170.8,186,157.230331013751,188.482415727015,2019,566,"RE"
158,173,151.32379301799,175.959199221559,2020,566,"RE"
155.8,183,145.446428794059,193.187886719204,2007,566,"RL"
155,185,144.758608257994,194.940972533514,2011,566,"RL"
